GeneID,P,TAU,PER,LAG,AMP,BH.Q,ADJ.P
Gene_041,2.436274983279358e-10,0.9289756185994452,24.0,22,4.2284557128699065,2.619641471036206e-09,2.619641471036206e-09
Gene_042,3.274551838795257e-10,0.9250843517272238,24.0,4,4.503137412451673,2.619641471036206e-09,2.619641471036206e-09
Gene_044,2.0472322655496786e-10,0.934331459958054,24.0,21,4.656874865247229,2.619641471036206e-09,2.619641471036206e-09
Gene_045,2.2007436854300293e-10,0.9428936315025879,24.0,11,3.8477509849722455,2.619641471036206e-09,2.619641471036206e-09
Gene_038,3.193703837202838e-10,0.9285169585178648,24.0,6,4.022323007407726,2.619641471036206e-09,2.619641471036206e-09
Gene_039,2.7548849263037277e-10,0.9304591124584994,24.0,5,4.607277385532716,2.619641471036206e-09,2.619641471036206e-09
Gene_035,8.25010023748681e-11,0.9650793640085311,24.0,12,4.846981113762372,2.619641471036206e-09,2.619641471036206e-09
Gene_050,2.436274983279358e-10,0.9289756185994452,24.0,22,3.5303794855913075,2.619641471036206e-09,2.619641471036206e-09
Gene_034,1.6751704753888996e-10,0.9431970685339576,24.0,16,2.92684461241701,2.619641471036206e-09,2.619641471036206e-09
Gene_047,3.60983756034239e-10,0.9300476107987176,24.0,10,4.634977379362261,2.7767981233403e-09,2.7767981233403e-09
Gene_003,3.8890880375754593e-10,0.9197325308962094,24.0,2,4.46273269771547,2.7779200268396136e-09,2.7779200268396136e-09
Gene_037,3.793913382501596e-10,0.9231326627541019,24.0,5,4.690098395164442,2.7779200268396136e-09,2.7779200268396136e-09
Gene_019,4.181950951895034e-10,0.9281031431652923,24.0,12,3.305647240517848,2.884104104755196e-09,2.884104104755196e-09
Gene_017,4.963139166178419e-10,0.9226662805542832,24.0,13,3.8694848618571633,3.3087594441189463e-09,3.3087594441189463e-09
Gene_027,5.212216733480679e-10,0.9158062130497042,24.0,5,4.2995068446350855,3.3627204732133415e-09,3.3627204732133415e-09
Gene_016,5.472488829626715e-10,0.9090969196689254,24.0,0,4.49142014440237,3.4203055185166965e-09,3.4203055185166965e-09
Gene_043,6.030195523729453e-10,0.913836848501772,24.0,16,2.925406294580184,3.5471738374879137e-09,3.5471738374879137e-09
Gene_048,6.030195523729453e-10,0.913836848501772,24.0,7,3.7260637579442086,3.5471738374879137e-09,3.5471738374879137e-09
Gene_022,7.317085687833367e-10,0.9051336018343648,24.0,2,2.908070815584968,4.163603990398582e-09,4.163603990398582e-09
Gene_036,7.494487182717447e-10,0.901824144311574,24.0,23,4.648345817323359,4.163603990398582e-09,4.163603990398582e-09
Gene_026,9.766686458522963e-10,0.901153313640909,24.0,5,4.354389878172626,5.2792899775799795e-09,5.2792899775799795e-09
Gene_040,1.0238901850412854e-09,0.8945513689542226,24.0,23,4.901659983416419,5.388895710743607e-09,5.388895710743607e-09
Gene_028,1.1276438685424154e-09,0.8991567384856793,24.0,6,2.3151513796177046,5.7827890694482844e-09,5.7827890694482844e-09
Gene_018,1.1817904901621088e-09,0.8925452021837806,24.0,1,2.7902628750153786,5.908952450810544e-09,5.908952450810544e-09
Gene_046,1.8125106834793875e-09,0.8865004142321137,24.0,5,2.5159443414492957,8.841515529167745e-09,8.841515529167745e-09
Gene_049,1.995253028258971e-09,0.8911269223220536,24.0,11,2.5111335045844076,9.492846717560646e-09,9.492846717560646e-09
Gene_021,2.088426277863342e-09,0.8844766284695866,24.0,7,3.9916323243424388,9.492846717560646e-09,9.492846717560646e-09
Gene_002,2.088426277863342e-09,0.8844766284695866,24.0,16,2.6539252451932143,9.492846717560646e-09,9.492846717560646e-09
Gene_025,3.258198478963968e-09,0.8750946304009688,24.0,8,2.1080855586448464,1.4480882128728745e-08,1.4480882128728745e-08
Gene_010,4.002830095749928e-09,0.8634008690512491,24.0,1,2.614448417975364,1.740360911195621e-08,1.740360911195621e-08
Gene_015,7.814730781368294e-09,0.8562343083543749,24.0,13,2.359090905295058,3.3254173537737424e-08,3.3254173537737424e-08
Gene_029,7.982078798974561e-09,0.8530334212311965,24.0,15,2.507879585245303,3.325866166239401e-08,3.325866166239401e-08
Gene_033,8.503304295462505e-09,0.8436419414527628,24.0,0,2.2373649027046096,3.470736447127553e-08,3.470736447127553e-08
Gene_011,1.707624704625565e-08,0.8300163946327265,24.0,3,2.1935427608139246,6.83049881850226e-08,6.83049881850226e-08
Gene_177,0.006738045618159047,0.4000329979385267,24.0,6,1.4560142833648517,0.026423708306506068,0.026423708306506068
Gene_141,0.009094595703377341,0.38392828826623915,24.0,19,1.6821453228127723,0.03431922906934846,0.03431922906934846
Gene_172,0.009051868062299072,0.38535288792243405,24.0,16,1.8603719288947653,0.03431922906934846,0.03431922906934846
Gene_055,0.009799129626147417,0.3795721556079594,24.0,21,1.4227267279711522,0.03629307268943488,0.03629307268943488
Gene_069,0.012050672367820653,0.3706727779063413,24.0,6,2.1121370365403025,0.043820626792075094,0.043820626792075094
Gene_132,0.012898214360434805,0.36768681949620535,24.0,8,1.6907411921342104,0.046065051287267164,0.046065051287267164
Gene_117,0.016981655165118893,0.35297934671635717,24.0,8,1.721293480492851,0.059584754965329445,0.059584754965329445
Gene_182,0.01834421385820849,0.34608895594881295,24.0,22,1.712987009679585,0.06325590985589134,0.06325590985589134
Gene_150,0.01964553420344722,0.34182044179551596,24.0,23,1.2506862865633934,0.06548511401149074,0.06548511401149074
Gene_058,0.019494917747093544,0.34434313610668876,24.0,5,1.7676180871692555,0.06548511401149074,0.06548511401149074
Gene_106,0.02377904209223186,0.33273784983074056,24.0,4,1.8505336290085754,0.0779640724335471,0.0779640724335471
Gene_193,0.02540761087981809,0.32847590389150333,24.0,21,2.3255254928125124,0.08196003509618739,0.08196003509618739
Gene_136,0.026941723317976354,0.3266324478580631,24.0,17,2.2420893215267688,0.08419288536867611,0.08419288536867611
Gene_081,0.026847396037982484,0.32785350799604696,24.0,14,2.221346548306628,0.08419288536867611,0.08419288536867611
Gene_103,0.0286565450214003,0.32356440115666074,24.0,8,1.3867854566291924,0.08817398468123169,0.08817398468123169
Gene_071,0.032373247500294404,0.3173972005106735,24.0,10,2.1992676717271915,0.09810075000089213,0.09810075000089213
Gene_068,0.034830565678849915,0.3096585395331484,24.0,22,1.9862305495115233,0.10397183784731318,0.10397183784731318
Gene_059,0.03708264872562314,0.30545656500875895,24.0,0,1.7096256450657412,0.10595042493035184,0.10595042493035184
Gene_053,0.03661696865948041,0.31001587026623917,24.0,13,1.8111715178533583,0.10595042493035184,0.10595042493035184
Gene_200,0.03661696865948041,0.31001587026623917,24.0,13,1.8389847295016004,0.10595042493035184,0.10595042493035184
Gene_194,0.03921350043538978,0.30348617072474143,24.0,3,1.4841116342300125,0.11046056460673176,0.11046056460673176
Gene_087,0.041703333172483745,0.2992780457678142,24.0,21,1.8962268979751262,0.11584259214578818,0.11584259214578818
Gene_167,0.04406234967394231,0.29727222782587764,24.0,7,1.9897881865454758,0.11908743155119543,0.11908743155119543
Gene_179,0.04380100294325694,0.29950738883023376,24.0,12,1.4553101729566795,0.11908743155119543,0.11908743155119543
Gene_098,0.0470806171474506,0.29091101429405614,24.0,23,2.3420517189079253,0.1255483123932016,0.1255483123932016
Gene_064,0.049414723581536264,0.29101603518750235,24.0,14,1.6456934503227982,0.12581339158597768,0.12581339158597768
Gene_091,0.049274052757814366,0.292112144661586,24.0,12,1.8947239264457414,0.12581339158597768,0.12581339158597768
Gene_082,0.04969628967646118,0.2888603311717418,24.0,19,2.238727086183701,0.12581339158597768,0.12581339158597768
Gene_114,0.0495554693770837,0.2899321728178313,24.0,17,1.5146021384856403,0.12581339158597768,0.12581339158597768
Gene_139,0.052729628765175465,0.28467911670596957,24.0,21,2.338637576527575,0.13182407191293866,0.13182407191293866
Gene_102,0.05576295653891807,0.28154741139524203,24.0,19,1.6476247706606264,0.13600721107053187,0.13600721107053187
Gene_126,0.055460747099839995,0.2836485406257934,24.0,14,1.649227102573339,0.13600721107053187,0.13600721107053187
Gene_115,0.05894225200456817,0.2784050887671101,24.0,5,1.1740967725237832,0.1420295229025739,0.1420295229025739
Gene_169,0.06243437141413657,0.27423449161874225,24.0,20,1.8335406688617417,0.14865326527175374,0.14865326527175374
Gene_122,0.06626066679811299,0.2690926882220019,24.0,23,1.5863505536792069,0.15409457394909998,0.15409457394909998
Gene_109,0.06575944986125554,0.272088246427192,24.0,15,1.4793094790665506,0.15409457394909998,0.15409457394909998
Gene_183,0.06923548414461517,0.2699264121556428,24.0,12,1.633489867719871,0.15916203251635672,0.15916203251635672
Gene_092,0.07393476812560806,0.2618199128646505,24.0,0,1.4894833242666685,0.1680335639218365,0.1680335639218365
Gene_144,0.07776098767426094,0.25960865206574263,24.0,20,1.9345539139957468,0.17474379252642908,0.17474379252642908
Gene_178,0.08232056436100395,0.2545471375072991,24.0,23,1.7311745274890358,0.18092431727693176,0.18092431727693176
Gene_173,0.0817542153292479,0.2573807736473438,24.0,15,1.3187520000518074,0.18092431727693176,0.18092431727693176
Gene_061,0.08669680695469231,0.2513698732680852,24.0,22,1.798352847348065,0.18644474613912326,0.18644474613912326
Gene_174,0.08630832387298927,0.25323189777759947,24.0,7,1.610152684484512,0.18644474613912326,0.18644474613912326
Gene_188,0.09540560137395378,0.24774067964969956,24.0,11,1.336212406680854,0.19961659798878495,0.19961659798878495
Gene_076,0.09540560137395378,0.24774067964969956,24.0,11,2.735161725745923,0.19961659798878495,0.19961659798878495
Gene_186,0.09581596703461677,0.24589184276955314,24.0,17,1.3123079798531982,0.19961659798878495,0.19961659798878495
Gene_104,0.10119060435372222,0.2408823295204358,24.0,2,1.2988897785459068,0.20651143745657596,0.20651143745657596
Gene_077,0.10055889564321221,0.2435838980663308,24.0,10,1.2702242096237786,0.20651143745657596,0.20651143745657596
Gene_171,0.10614418959793027,0.2385517877615068,24.0,16,1.5335911707686702,0.20812586195672603,0.20812586195672603
Gene_116,0.10614418959793027,0.2385517877615068,24.0,7,1.6468281780009004,0.20812586195672603,0.20812586195672603
Gene_066,0.10614418959793027,0.2385517877615068,24.0,17,1.4782089056872647,0.20812586195672603,0.20812586195672603
Gene_056,0.10592821883809493,0.23944357325553992,24.0,14,1.963100643001296,0.20812586195672603,0.20812586195672603
Gene_075,0.11218249335075398,0.2327288114352449,24.0,23,1.736408190035796,0.21368093971572186,0.21368093971572186
Gene_090,0.11151888256741678,0.23531956447757144,24.0,8,2.075849485994331,0.21368093971572186,0.21368093971572186
Gene_120,0.11174015056009387,0.23444639054072428,24.0,18,1.4712315213726037,0.21368093971572186,0.21368093971572186
Gene_195,0.11733612222250059,0.2312117327534604,24.0,16,1.4369022549219999,0.21812781959568484,0.21812781959568484
Gene_185,0.11778902258166982,0.22951162341868647,24.0,22,2.1282019549861344,0.21812781959568484,0.21812781959568484
Gene_110,0.11710955694191066,0.23207607869383098,24.0,14,1.6921033302711646,0.21812781959568484,0.21812781959568484
Gene_093,0.12361670375898094,0.2262834004585912,24.0,2,1.5520383698021099,0.2268196399247357,0.2268196399247357
Gene_097,0.12896025144530687,0.2255549471437563,24.0,11,1.7031397704052624,0.23113225120319525,0.23113225120319525
Gene_052,0.12943406067378935,0.22387167774541403,24.0,16,1.7044262072142304,0.23113225120319525,0.23113225120319525
Gene_134,0.12896025144530687,0.2255549471437563,24.0,11,2.1616631237891157,0.23113225120319525,0.23113225120319525
Gene_180,0.13547285546678137,0.221439907333028,24.0,10,1.6948265146071426,0.2397749654279316,0.2397749654279316
Gene_199,0.14247907135213234,0.21653162273736767,24.0,16,1.2169677880821639,0.24778968930805625,0.24778968930805625
Gene_054,0.14247907135213234,0.21653162273736767,24.0,16,1.6140658552393172,0.24778968930805625,0.24778968930805625
Gene_159,0.1570222912599212,0.20765337356928776,24.0,22,1.678155149906198,0.2684141730938824,0.2684141730938824
Gene_151,0.15676651294052832,0.2084182136302441,24.0,4,1.258313080036563,0.2684141730938824,0.2684141730938824
Gene_067,0.163777780744347,0.205904618917875,24.0,8,1.3436089464520924,0.2775894588887238,0.2775894588887238
Gene_133,0.17989155454218841,0.19708554233490203,24.0,21,1.9307839513619527,0.299819257570314,0.299819257570314
Gene_063,0.1790850894967062,0.1992959165997252,24.0,13,1.4396356812903939,0.299819257570314,0.299819257570314
Gene_062,0.18713411750026177,0.19597397046916532,24.0,12,2.2404806789428378,0.30931259090952357,0.30931259090952357
Gene_107,0.19628224752288104,0.19048769231433849,24.0,18,1.9681333721428516,0.3217741762670181,0.3217741762670181
Gene_175,0.20432440738384072,0.18857872630051756,24.0,12,1.5554338166053432,0.3313609052811021,0.3313609052811021
Gene_137,0.20544376127428332,0.18579512371988902,24.0,22,2.3786705113914888,0.3313609052811021,0.3313609052811021
Gene_070,0.22377966588720843,0.17850904043675614,24.0,1,1.6993634199294383,0.3552058188685848,0.3552058188685848
Gene_196,0.22292206147681803,0.18050361676186855,24.0,9,1.7727259141287526,0.3552058188685848,0.3552058188685848
Gene_170,0.2335183496305655,0.17454660857643367,24.0,0,1.3285420144756053,0.36774543248907954,0.36774543248907954
Gene_152,0.24267547974831616,0.1724912926890895,24.0,6,1.368869701616588,0.3762410538733584,0.3762410538733584
Gene_130,0.24267547974831616,0.1724912926890895,24.0,16,2.058235067732487,0.3762410538733584,0.3762410538733584
Gene_162,0.25357657935065814,0.1672738332190823,24.0,23,1.3143267669230996,0.3842069384100881,0.3842069384100881
Gene_057,0.2532839863799443,0.16788768421121283,24.0,21,1.6988458241674191,0.3842069384100881,0.3842069384100881
Gene_142,0.2532839863799443,0.16788768421121283,24.0,21,1.529724738301856,0.3842069384100881,0.3842069384100881
Gene_060,0.2638961295317097,0.16393687387049033,24.0,1,1.8884213356242086,0.3852498241338828,0.3852498241338828
Gene_112,0.2630115764497698,0.16576862763845068,24.0,9,1.4922033844910088,0.3852498241338828,0.3852498241338828
Gene_099,0.2636015969775565,0.16454069497124532,24.0,4,1.8338822715625114,0.3852498241338828,0.3852498241338828
Gene_079,0.2636015969775565,0.16454069497124532,24.0,4,1.4413724741142957,0.3852498241338828,0.3852498241338828
Gene_065,0.2636015969775565,0.16454069497124532,24.0,20,1.5957089171310113,0.3852498241338828,0.3852498241338828
Gene_184,0.27391566341065865,0.16178220057833037,24.0,15,2.0387502146424863,0.394549869998462,0.394549869998462
Gene_140,0.2742121596489311,0.16118189349674794,24.0,18,2.1156652154533395,0.394549869998462,0.394549869998462
Gene_135,0.28511762825229237,0.1578111826729968,24.0,17,1.555612730653983,0.40442216773374806,0.40442216773374806
Gene_073,0.2845216405835991,0.15899774962592658,24.0,12,1.6628261720978328,0.40442216773374806,0.40442216773374806
Gene_154,0.29602083162102466,0.15500793513311958,24.0,13,1.739338806116825,0.4169307487620066,0.4169307487620066
Gene_129,0.30781955338890865,0.15103363851503288,24.0,14,2.1311910314361637,0.42248960130592156,0.42248960130592156
Gene_168,0.3075200815453911,0.15160250545727882,24.0,11,1.817154411799795,0.42248960130592156,0.42248960130592156
Gene_125,0.3084174089533227,0.14991485541824576,24.0,19,1.4523359597521668,0.42248960130592156,0.42248960130592156
Gene_118,0.3084174089533227,0.14991485541824576,24.0,3,2.123929464952841,0.42248960130592156,0.42248960130592156
Gene_164,0.32021676226898077,0.14652899408795267,24.0,5,1.9210904410950018,0.4356690643115385,0.4356690643115385
Gene_083,0.33291167507162067,0.14207862402109162,24.0,22,1.7752406176338285,0.44388223342882754,0.44388223342882754
Gene_074,0.33261348939635593,0.14260193564174595,24.0,4,1.8947699804557887,0.44388223342882754,0.44388223342882754
Gene_155,0.33261348939635593,0.14260193564174595,24.0,20,1.913948307650093,0.44388223342882754,0.44388223342882754
Gene_166,0.3456053231812437,0.13818273178967666,24.0,0,1.931277660138843,0.4547438462911102,0.4547438462911102
Gene_095,0.3447121767390374,0.13972099140855804,24.0,15,1.4897156566167342,0.4547438462911102,0.4547438462911102
Gene_189,0.37129014204089894,0.13139036155660133,24.0,21,1.1814494936819502,0.4853465909031358,0.4853465909031358
Gene_153,0.3842841996355909,0.12845096264081135,24.0,7,1.8378382405106084,0.4899080071701567,0.4899080071701567
Gene_127,0.3842841996355909,0.12845096264081135,24.0,6,1.6423687809070535,0.4899080071701567,0.4899080071701567
Gene_100,0.38457778562857303,0.12797609608874638,24.0,20,2.3654433735210834,0.4899080071701567,0.4899080071701567
Gene_080,0.3836958051524787,0.12941677295133558,24.0,12,1.7377043824693659,0.4899080071701567,0.4899080071701567
Gene_138,0.39757722045864674,0.12548261415538253,24.0,13,1.8923899969565863,0.497700903212844,0.497700903212844
Gene_145,0.39816072257027524,0.12454964497475976,24.0,18,1.637737928557745,0.497700903212844,0.497700903212844
Gene_157,0.3978691776321863,0.12501351862870982,24.0,15,2.0518253048393404,0.497700903212844,0.497700903212844
Gene_197,0.4120373140969459,0.12111090763276497,24.0,6,1.9612700126450169,0.5118475951514856,0.5118475951514856
Gene_181,0.4264913369812755,0.11722319527036214,24.0,5,1.0584938913283048,0.5236524374637835,0.5236524374637835
Gene_119,0.42677673653298354,0.11679143249475675,24.0,2,1.8641121214385445,0.5236524374637835,0.5236524374637835
Gene_105,0.44066289191733266,0.11419616570648826,24.0,9,1.3620761811108024,0.5315994546101968,0.5315994546101968
Gene_187,0.4412275473264633,0.11335025653574679,24.0,3,1.8654077003201102,0.5315994546101968,0.5315994546101968
Gene_146,0.4409454295079197,0.1137708526247186,24.0,16,2.419059868087306,0.5315994546101968,0.5315994546101968
Gene_111,0.45624182590897844,0.10949196796383445,24.0,2,2.1516074714852413,0.5434754826361275,0.5434754826361275
Gene_128,0.4565194054143471,0.10909163036027106,24.0,23,2.126837028179275,0.5434754826361275,0.5434754826361275
Gene_143,0.471256174352942,0.106037336759247,24.0,20,1.404387640901398,0.5511768121087041,0.5511768121087041
Gene_121,0.47098229554526405,0.10643079761667225,24.0,6,2.256542154486075,0.5511768121087041,0.5511768121087041
Gene_094,0.4707079966568094,0.10682867114477934,24.0,9,1.4420518167844163,0.5511768121087041,0.5511768121087041
Gene_161,0.48681751206529433,0.10219250343291215,24.0,2,1.3247601456818403,0.5598689838908752,0.5598689838908752
Gene_084,0.4870860159850614,0.10181885500291964,24.0,23,1.6637398869657742,0.5598689838908752,0.5598689838908752
Gene_072,0.48627925196705,0.1029523094589375,24.0,8,1.5857292896314612,0.5598689838908752,0.5598689838908752
Gene_051,0.502114956352133,0.0990907426086259,24.0,16,1.7103179045033512,0.5738456644024377,0.5738456644024377
Gene_088,0.5340509520126582,0.0920936820213615,24.0,14,1.8519159540935162,0.5874243209443948,0.5874243209443948
Gene_124,0.5345561320593992,0.09141149720624742,24.0,19,1.9060330714064424,0.5874243209443948,0.5874243209443948
Gene_085,0.5182093168215207,0.09524384615716924,24.0,18,1.8369553245241426,0.5874243209443948,0.5874243209443948
Gene_148,0.5345561320593992,0.09141149720624742,24.0,19,1.804949632151922,0.5874243209443948,0.5874243209443948
Gene_165,0.5343037460174676,0.09175068760057953,24.0,17,1.708352398252159,0.5874243209443948,0.5874243209443948
Gene_176,0.5343037460174676,0.09175068760057953,24.0,16,1.7037516797499808,0.5874243209443948,0.5874243209443948
Gene_158,0.5343037460174676,0.09175068760057953,24.0,16,2.082526841892477,0.5874243209443948,0.5874243209443948
Gene_089,0.5506568299290415,0.08824483667908929,24.0,15,1.9622399362598464,0.6018107430918487,0.6018107430918487
Gene_096,0.5670228022665471,0.0850453079394491,24.0,12,1.685212693997911,0.6104747657706794,0.6104747657706794
Gene_198,0.567262775021938,0.08472618745965259,24.0,14,2.3999990444905346,0.6104747657706794,0.6104747657706794
Gene_191,0.5677415321667318,0.08409857742974762,24.0,20,1.3371443905254954,0.6104747657706794,0.6104747657706794
Gene_163,0.6016579431324527,0.0770705775844868,24.0,16,2.1318380015223157,0.6366750720978336,0.6366750720978336
Gene_101,0.6016579431324527,0.0770705775844868,24.0,7,1.582187172967425,0.6366750720978336,0.6366750720978336
Gene_078,0.6012080111153815,0.07765006377080134,24.0,12,1.971076838246764,0.6366750720978336,0.6366750720978336
Gene_190,0.619616764674272,0.07272775357351403,24.0,0,2.6693647006121557,0.6522281733413389,0.6522281733413389
Gene_108,0.6369194816451786,0.06947273787674804,24.0,19,1.2987409649638577,0.6634577933803945,0.6634577933803945
Gene_123,0.6367113776288631,0.06973052257644044,24.0,16,1.3248314347457448,0.6634577933803945,0.6634577933803945
Gene_192,0.6725974659569164,0.06239046756839407,24.0,16,2.3282220442913246,0.6898435548276065,0.6898435548276065
Gene_113,0.6724067496179001,0.06262370377452582,24.0,14,1.7149731694034482,0.6898435548276065,0.6898435548276065
Gene_149,0.6725974659569164,0.06239046756839407,24.0,17,1.1630196879023782,0.6898435548276065,0.6898435548276065
Gene_156,0.7092453118117583,0.05505041256034772,24.0,16,2.0584804953824527,0.7167552391739546,0.7167552391739546
Gene_147,0.7092453118117583,0.05505041256034772,24.0,17,1.5747800757859496,0.7167552391739546,0.7167552391739546
Gene_131,0.7095876867822151,0.05464562462349678,24.0,1,1.7212927814466958,0.7167552391739546,0.7167552391739546
Gene_160,0.727750490945204,0.05147615472946875,24.0,15,1.9937435543473616,0.7314075285881448,0.7314075285881448
Gene_086,0.881618282927969,0.02181832607205421,24.0,0,1.5268476361669552,0.881618282927969,0.881618282927969
